Version,Workers,Sim_Time_s,Pred_Time_s,Total_s,Speedup,Efficiency
Serial,1,1.6534,8.2974,9.9508,1.0000,1.0000
OpenMP,1,1.8411,8.0907,9.9318,1.0019,1.0019
OpenMP,2,0.9364,4.2488,5.1852,1.9190,.9595
OpenMP,4,0.5467,3.6044,4.1511,2.3971,.5992
OpenMP,8,0.6309,2.8774,3.5083,2.8363,.3545
Pthreads,1,1.9207,9.9583,11.8789,.8376,.8376
Pthreads,2,1.4219,4.7987,6.2206,1.5996,.7998
Pthreads,4,1.1839,3.3247,4.5086,2.2070,.5517
Pthreads,8,0.7477,2.5042,3.2519,3.0599,.3824
MPI,1,3.2990,8.7705,12.0695,.8244,.8244
MPI,2,2.2612,5.2780,7.5391,1.3198,.6599
MPI,4,1.3338,3.2874,4.6212,2.1532,.5383
